ID;County;Site_Name;Easting;Northing;Depth;New_Code;Sample_Date;pH;T;O(0);Eh;Alkalinity;N(-3);N(3);N(5);P;C(-4);Si;Cl;F;S(6);Na;K;Mg;Ca;Fe;Mn;B;Al;Cr;Ni;Cu;Zn;As;Cd;Sb;Ba;Pb;U;Hg;Co;Mo;Sr;Ag;Be
09915;Kerry;Ballyheigue;76766;126491;;IE_SH_G_0008_1300_0001;05/11/14;6.7;11.1;3.9;261;224;0.024;-0.013;33.21;-0.01;2.4;9;96;-0.2;30;55;4.8;15;150;-10;-5;41;-10;-1;-1;-1;3;-1;0.1;-1;11;-1;-1;-0.05;-1;-1;280;nd;-1
09916;Kerry;South Ardfert;78148;121655;;IE_SH_G_0008_1300_0002;05/11/14;6.9;11.5;4.5;248;195;-0.02;-0.013;24.36;-0.01;-1.5;7;46;-0.2;-2;25;1.5;7.5;130;-10;-5;24;-10;-1;-1;2;2;-1;0;-1;5;-1;1.5;-0.05;-1;5.1;120;nd;-1
09917;Kerry;Gale Bridge;95774;136291;;IE_SH_G_0027_1300_0012;05/11/14;6.7;11.2;2.5;229;117;0.034;-0.013;27.01;-0.01;3.8;6;33;-0.2;10;19;1.4;7.7;74;30;-5;17;-10;-1;-1;-1;25;-1;0;-1;3;-1;-1;-0.05;-1;-1;120;nd;-1
09918;Kerry;Kerry Spring Water;36406;104399;;IE_SH_G_0044_1300_0008;05/11/14;6.5;11.9;11.9;240;121;-0.02;-0.013;9.74;0.012;-1.5;6;43;-0.2;9;23;2.2;8.6;73;-10;-5;23;-10;-1;-1;2;3;-1;0;-1;13;-1;1.8;-0.05;-1;-1;270;nd;-1
09919;Roscommon;BoyleRockingham;184939;302872;;IE_SH_G_0048_2600_0006;05/11/14;6.9;10;7.3;402;178;-0.02;-0.013;10.19;0.019;4.8;4;13;-0.2;7;7.1;1.9;3.5;110;-10;-5;14;-10;3;-1;6;15;-1;0;-1;13;-1;-1;-0.05;-1;-1;390;nd;-1
09920;Roscommon;Keadew;190581;311870;;IE_SH_G_0105_2600_0009;05/11/14;7.3;10.1;3.5;705;168;-0.02;-0.013;7.97;0.028;-1.5;7;18;-0.2;10;11;1.3;19;80;-10;-5;14;-10;-1;-1;10;9;-1;0;-1;11;-1;2.4;-0.05;-1;-1;160;nd;-1
09921;Sligo;Culfadda ;165617;312642;;IE_WE_G_0037_2700_0002;05/11/14;7.3;10.1;3.7;270;150;-0.02;-0.013;3.32;0.013;5.6;6;15;-0.2;-2;8.1;2.3;6.3;90;12;-5;16;-10;-1;-1;1;3;-1;0.1;-1;23;-1;-1;-0.05;-1;-1;350;nd;-1
09922;Meath;Enfield Bore;278141;241368;;IE_EA_G_0002_2300_0004;06/11/14;7.1;11.1;0.2;-47;159;0.21;-0.013;-0.9;0.028;-1.5;9;14;-0.2;-2;13;1.2;10;100;900;370;37;-10;-1;4;-1;-1;2.2;0;-1;110;-1;-1;-0.05;-1;2;2400;nd;-1
09923;Offaly;Edenderry  Kishawanny Bridge;264619;233419;;IE_EA_G_0002_2500_0006;06/11/14;7.1;11.7;0.4;29;156;0.023;-0.013;1.2;0.017;-1.5;15;19;0.3;45;15;1.4;18;92;-10;91;31;-10;-1;3;11;24;-1;0.2;-1;67;-1;-1;-0.05;-1;1.2;490;nd;-1
09924;Meath;Longwood;273048;245619;;IE_EA_G_0018_2300_0010;06/11/14;7.1;12.5;1.4;28;143;-0.02;-0.013;7.09;0.014;-1.5;11;17;0.3;19;11;1;19;89;-10;-5;20;-10;-1;2;-1;39;-1;0.1;-1;13;-1;-1;-0.05;-1;-1;520;nd;-1
