ID;County;Site_Name;Easting;Northing;New_Code;Sample_Date;pH;T;O(0);Eh;Alkalinity;N(-3);N(3);N(5);P;C(-4);Si;Cl;F;S(6);Na;K;Mg;Ca;Fe;Mn;B;Al;Cr;Ni;Cu;Zn;As;Cd;Sb;Ba;Pb;U;Hg;Co;Mo;Sr;Ag;Be
00001;Tipperary North;Glenbeha PWS;212280;185305;IE_SE_G_0114_3700_0003;25/06/90;7.7;11.20;nd;nd;nd;0.020;nd;18.60;0.020;nd;nd;33;nd;6;nd;nd;nd;nd;-50;-20;nd;nd;-40;nd;-30;-10;nd;-0.2;nd;271;-5.0;nd;nd;nd;nd;nd;nd;nd
00002;Tipperary South;Fethard RWS (Mullinbawn);222327;134457;IE_SE_G_0040_3700_0005;12/03/91;7.3;11.20;nd;nd;nd;0.020;nd;18.16;0.010;nd;nd;24;nd;nd;nd;nd;nd;nd;-50;-30;nd;nd;nd;nd;-30;-10;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00003;Tipperary South;Fethard RWS (Mullinbawn);222327;134457;IE_SE_G_0040_3700_0005;21/10/91;7.2;10.80;nd;nd;nd;0.010;nd;nd;0.030;nd;nd;21;nd;nd;nd;nd;nd;nd;-60;-20;nd;nd;nd;nd;-30;10;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00004;Tipperary North;Glenbeha PWS;212280;185305;IE_SE_G_0114_3700_0003;22/10/91;7.5;11.00;nd;nd;nd;0.030;nd;19.93;0.010;nd;nd;33;nd;6;nd;nd;nd;nd;-60;-20;nd;nd;nd;nd;-30;-10;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00005;Tipperary North;Glenbeha PWS;212280;185305;IE_SE_G_0114_3700_0003;27/04/92;7.5;8.70;nd;nd;nd;0.010;nd;20.82;0.020;nd;nd;29;nd;nd;nd;nd;nd;nd;-50;-20;nd;nd;nd;nd;-30;-10;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00006;Kilkenny;Paulstown;266048;157294;IE_SE_G_0165_1500_0014;29/04/92;7.3;9.10;nd;nd;nd;0.030;nd;26.57;0.040;nd;nd;29;nd;nd;nd;nd;nd;nd;-50;-20;nd;nd;nd;nd;-30;-10;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00007;Kilkenny;Paulstown;266048;157294;IE_SE_G_0165_1500_0014;01/07/92;7.4;11.40;nd;nd;nd;0.020;nd;22.14;0.010;nd;nd;28;nd;nd;nd;nd;nd;nd;-40;-20;nd;nd;nd;nd;-30;10;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00008;Kilkenny;Paulstown;266048;157294;IE_SE_G_0165_1500_0014;20/08/92;7.2;nd;nd;nd;nd;0.020;nd;19.04;0.020;nd;nd;28;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00009;Tipperary North;Glenbeha PWS;212280;185305;IE_SE_G_0114_3700_0003;16/09/92;7.4;11.60;nd;nd;nd;0.060;nd;22.15;0.070;nd;nd;31;nd;nd;nd;nd;nd;nd;-50;-30;nd;nd;nd;nd;-30;-10;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00010;Tipperary South;Fethard RWS (Mullinbawn);222327;134457;IE_SE_G_0040_3700_0005;22/10/92;7.3;10.70;nd;nd;nd;0.020;nd;14.61;0.010;nd;nd;24;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00011;Kilkenny;Paulstown;266048;157294;IE_SE_G_0165_1500_0014;18/11/92;7.4;9.80;nd;nd;nd;0.020;nd;20.37;0.030;nd;nd;28;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00012;Kilkenny;Paulstown;266048;157294;IE_SE_G_0165_1500_0014;10/03/93;7.3;9.60;nd;nd;nd;0.010;nd;30.11;0.020;nd;nd;38;nd;nd;nd;nd;nd;nd;11;9;nd;nd;nd;nd;-1;15;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00013;Monaghan;Tydavnet (PWA);257300;340440;IE_NB_G_0014_2400_0010;19/04/93;7.6;11.00;nd;nd;132;0.070;0.003;0.40;0.020;nd;nd;14;nd;54;56.3;3.8;10.02;21.6;160;69;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00014;Tipperary South;Kilcoran;198376;121637;IE_SE_G_0024_3700_0008;03/05/93;6.3;nd;nd;nd;37;0.010;0.001;1.33;0.003;nd;nd;18;nd;nd;6.7;0.8;8.80;nd;-5;5;nd;nd;-1;2;720;-5;nd;1.0;-1.0;115;7.0;nd;nd;nd;nd;nd;nd;nd
00015;Tipperary South;Poulalee;208100;114000;IE_SE_G_0040_3700_0009;03/05/93;7.3;nd;nd;nd;134;0.010;0.001;15.94;0.005;nd;nd;16;nd;nd;nd;nd;nd;nd;26;2;nd;nd;-1;-1;5;17;nd;1.0;2.0;75;3.0;nd;nd;nd;nd;nd;nd;nd
00016;Tipperary South;Ironmills WS;191469;146927;IE_SE_G_0131_3700_0009;03/05/93;7.1;nd;nd;nd;71;0.010;0.001;7.97;0.004;nd;nd;14;nd;nd;9.9;1.0;22.40;nd;-5;-5;nd;nd;-1;2;8;14;nd;1.0;-1.0;2900;2.0;nd;nd;nd;nd;nd;nd;nd
00017;Tipperary South;Tipperary Coop Ltd;188800;135500;IE_SE_G_0131_3700_0011;03/05/93;7.3;nd;nd;nd;186;0.010;-0.001;9.30;0.011;nd;nd;18;nd;nd;3.8;0.2;3.50;nd;-5;6;nd;nd;-1;2;1;-5;nd;1.0;-1.0;200;1.0;nd;nd;nd;nd;nd;nd;nd
00018;Tipperary South;Coolnamuck;238688;121347;IE_SE_G_0030_3700_0002;04/05/93;7.0;nd;nd;nd;93;0.010;0.003;13.73;0.020;nd;nd;15;nd;nd;8.6;1.5;17.30;nd;32;15;nd;nd;-1;-1;nd;-5;nd;1.0;-1.0;44;-1.0;nd;nd;nd;nd;nd;nd;nd
00019;Tipperary South;Fethard RWS (Laffansbridge);219100;146620;IE_SE_G_0040_3700_0004;04/05/93;7.2;nd;nd;nd;167;0.150;0.004;19.49;0.004;nd;nd;20;nd;nd;10.7;4.2;23.00;nd;nd;nd;nd;nd;-1;-1;1;-5;nd;1.0;-1.0;230;-1.0;nd;nd;nd;nd;nd;nd;nd
00020;Tipperary South;Fethard RWS (Mullinbawn);222327;134457;IE_SE_G_0040_3700_0005;04/05/93;7.2;nd;nd;nd;207;0.010;0.002;15.94;0.008;nd;nd;20;nd;nd;10.5;4.8;10.60;nd;-5;7;nd;nd;-1;-1;1;-5;nd;1.0;-1.0;216;10.0;nd;nd;nd;nd;nd;nd;nd
00021;Tipperary South;Fethard RWS (Coalbrook BH);227292;151163;IE_SE_G_0126_3700_0003;04/05/93;7.4;nd;nd;nd;110;0.200;0.006;3.10;0.006;0.9;nd;17;nd;nd;9.4;3.2;14.30;nd;nd;nd;nd;nd;-1;-1;17;-5;nd;1.0;-1.0;190;-1.0;nd;nd;nd;nd;nd;nd;nd
00022;Tipperary South;Toberadorah Springs;207906;149647;IE_SE_G_0131_3700_0012;04/05/93;7.1;nd;nd;nd;222;0.220;0.002;31.44;0.009;0.9;nd;27;nd;nd;9.0;0.8;29.70;nd;7;-5;nd;nd;-1;-1;-1;-5;nd;1.0;-1.0;674;1.0;nd;nd;nd;nd;nd;nd;nd
00023;Tipperary North;Glenbeha PWS;212280;185305;IE_SE_G_0114_3700_0003;19/05/93;7.5;9.30;nd;nd;165;-0.010;0.003;13.29;0.010;nd;nd;23;nd;nd;nd;nd;nd;nd;13;-5;nd;nd;nd;nd;1;29;nd;-0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00024;Louth;Ardtullybeg;319557;306257;IE_NB_G_0024_2100_0001;27/05/93;7.6;11.00;nd;nd;173;0.010;0.001;30.33;0.020;nd;nd;29;nd;16;14.2;1.8;13.63;126.0;10;2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00025;Louth;Collon;300241;281688;IE_EA_G_0010_2100_0004;01/06/93;7.2;12.00;nd;nd;95;0.050;0.001;27.72;0.020;nd;nd;24;nd;14;14.2;0.4;22.98;59.2;6;7;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00026;Louth;Sheepgrange;301905;275487;IE_EA_G_0010_2100_0008;01/06/93;7.5;14.00;nd;nd;98;0.010;nd;48.44;0.020;nd;nd;34;nd;16;14.2;0.9;21.06;104.0;4;3;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00027;Louth;Tullyallen;302515;277876;IE_EA_G_0010_2100_0009;01/06/93;7.4;11.00;nd;nd;90;0.010;0.001;63.28;0.020;nd;nd;46;nd;11;16.3;1.6;30.46;79.6;5;1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00028;Louth;Drybridge;306122;276033;IE_EA_G_0025_2100_0005;01/06/93;7.3;12.00;nd;nd;116;0.010;nd;22.23;0.020;nd;nd;22;nd;13;15.8;1.6;15.95;81.2;13;2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00029;Kilkenny;Paulstown;266048;157294;IE_SE_G_0165_1500_0014;02/06/93;7.2;nd;nd;nd;186;0.010;0.005;36.31;0.060;nd;nd;30;nd;nd;9.1;3.2;12.30;nd;51;6;nd;nd;-1;nd;-1;-5;nd;1.0;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00030;Kilkenny;Dunmore (Readymix);250144;159746;10_008;10/06/93;7.4;nd;nd;nd;153;0.010;0.001;62.00;0.004;nd;nd;27;nd;nd;8.3;0.8;7.50;nd;31;-5;nd;nd;-1;nd;9;-5;nd;1.0;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00031;Kilkenny;Dunmore (Readymix);250144;159746;10_008;15/06/93;7.4;nd;nd;nd;191;0.010;0.006;0.89;0.010;0.4;nd;18;nd;nd;11.3;1.0;19.30;nd;nd;nd;nd;nd;nd;nd;39;nd;nd;1.0;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00032;Wexford;Kilmuckridge WS (Ballygarran);314985;141840;IE_SE_G_0025_3300_0007;22/06/93;7.6;nd;nd;nd;121;0.070;0.001;0.89;0.180;-1.0;nd;26;nd;nd;21.5;1.9;26.40;nd;84;25;nd;nd;-1;nd;5;71;nd;1.0;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00033;Wexford;Edermine WS;297696;134407;IE_SE_G_0061_3300_0004;22/06/93;6.3;nd;nd;nd;7;0.010;0.001;34.99;0.010;nd;nd;22;nd;nd;15.4;1.0;8.60;nd;9;-5;nd;nd;-1;nd;52;26;nd;1.0;nd;nd;1.0;nd;nd;nd;nd;nd;nd;nd
00034;Wexford;Gorey WS (Barnadown BH);313765;155776;IE_SE_G_0071_3300_0006;22/06/93;7.3;nd;nd;nd;58;0.010;0.001;14.61;0.010;0.2;nd;26;nd;nd;16.5;1.1;13.00;nd;35;5;nd;nd;-1;nd;10;5;nd;1.0;nd;nd;8.0;nd;nd;nd;nd;nd;nd;nd
00035;Wexford;Coolgreaney WS;318817;170325;IE_SE_G_0075_3300_0003;22/06/93;6.2;nd;nd;nd;14;0.010;0.001;31.00;0.010;0.0;nd;24;nd;nd;13.8;1.1;9.80;nd;680;8;nd;nd;-1;nd;18;11;nd;1.0;nd;nd;7.0;nd;nd;nd;nd;nd;nd;nd
00036;Wexford;Carrickbyrne WS;283270;124270;IE_SE_G_0001_3300_0002;23/06/93;5.9;nd;nd;nd;13;0.010;0.001;18.60;0.010;-1.0;nd;30;nd;nd;17.9;1.1;6.70;nd;61;-5;nd;nd;-1;nd;4;-5;nd;1.0;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00037;Wexford;S.Wexford RWS (Rathmackneee BH);303587;113944;IE_SE_G_0064_3300_0010;23/06/93;7.7;nd;nd;nd;nd;0.046;0.001;0.89;0.010;0.7;nd;40;nd;nd;24.0;1.5;29.70;nd;93;492;nd;nd;-1;nd;12;-5;nd;1.0;nd;nd;1.0;nd;nd;nd;nd;nd;nd;nd
00038;Waterford;Ballyhane PWS;213258;97691;IE_SW_G_0050_3800_0002;29/06/93;7.4;nd;nd;nd;168;0.010;0.001;34.54;0.004;0.6;nd;25;nd;nd;10.3;1.4;19.70;nd;55;-5;nd;nd;nd;nd;nd;63;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00039;Waterford;Cappoquin WS;211498;99325;IE_SW_G_0050_3800_0006;29/06/93;7.0;nd;nd;nd;24;0.010;0.001;42.51;0.010;1.0;nd;23;nd;nd;12.9;1.8;13.90;nd;72;-5;nd;nd;nd;nd;nd;13;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00040;Waterford;Dungarvan PWS (Balinamuck);223631;94709;IE_SE_G_0052_3800_0007;30/06/93;7.1;nd;nd;nd;117;0.010;0.001;23.92;0.010;nd;nd;25;nd;8;13.4;2.2;10.40;nd;45;9;nd;nd;nd;nd;nd;-5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00041;Waterford;Kilrossanty WS;230449;101027;IE_SE_G_0146_3800_0009;30/06/93;5.7;nd;nd;nd;17;0.010;0.001;10.19;0.003;3.7;nd;19;nd;nd;8.8;0.3;5.00;nd;130;-5;nd;nd;nd;nd;nd;17;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00042;Waterford;Ballyrohan/Ballymacarbry PWS;219605;110952;IE_SE_G_0154_3800_0005;30/06/93;6.5;nd;nd;nd;54;0.010;0.001;15.50;0.002;nd;nd;14;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00043;Waterford;Ballykinsella WS;260205;105097;24_003;01/07/93;6.4;nd;nd;nd;32;0.010;0.007;44.29;0.010;nd;nd;36;nd;nd;16.5;1.2;19.00;nd;497;6;nd;nd;nd;nd;nd;36;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00044;Louth;Collon;300241;281688;IE_EA_G_0010_2100_0004;26/07/93;7.4;15.00;nd;nd;78;0.010;0.004;26.44;0.030;nd;nd;24;nd;15;13.9;4.9;16.38;57.6;2;3;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00045;Louth;Drybridge;306122;276033;IE_EA_G_0025_2100_0005;26/07/93;7.6;14.00;nd;nd;116;0.010;0.001;22.36;0.020;nd;nd;22;nd;12;15.2;1.6;11.43;73.7;5;3;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00046;Louth;Ardtullybeg;319557;306257;IE_NB_G_0024_2100_0001;28/07/93;7.5;14.00;nd;nd;146;0.010;0.001;31.66;0.020;nd;nd;32;nd;21;14.4;2.0;9.93;105.2;16;3;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00047;Kilkenny;Paulstown;266048;157294;IE_SE_G_0165_1500_0014;05/08/93;7.3;11.60;nd;nd;nd;0.010;nd;26.57;0.020;nd;nd;27;nd;nd;nd;nd;nd;nd;19;-5;nd;nd;nd;nd;nd;25;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00048;Monaghan;Tydavnet (PWA);257300;340440;IE_NB_G_0014_2400_0010;16/08/93;7.6;12.00;nd;nd;154;0.080;0.007;1.37;0.020;nd;nd;10;nd;70;90.1;5.4;31.48;54.4;149;7;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00049;Louth;Collon;300241;281688;IE_EA_G_0010_2100_0004;23/08/93;7.1;15.00;nd;nd;84;0.010;0.001;27.90;0.020;1.2;nd;25;nd;24;15.7;3.6;16.77;54.0;5;5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00050;Louth;Ardtullybeg;319557;306257;IE_NB_G_0024_2100_0001;30/08/93;7.4;14.00;nd;nd;113;0.010;0.001;31.57;0.020;1.1;nd;32;nd;18;14.0;1.6;12.88;114.5;45;36;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00051;Louth;Drybridge;306122;276033;IE_EA_G_0025_2100_0005;01/09/93;7.3;16.00;nd;nd;93;0.010;0.002;20.24;0.010;0.7;nd;21;nd;15;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00052;Tipperary South;Coolmore (Stud BH);222794;140167;IE_SE_G_0040_3700_0001;08/09/93;8.2;nd;nd;nd;178;0.010;0.007;18.16;0.010;nd;nd;21;nd;nd;8.3;1.9;20.60;nd;28;7;nd;nd;nd;nd;nd;1248;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00053;Tipperary North;Glenbeha PWS;212280;185305;IE_SE_G_0114_3700_0003;15/09/93;7.7;nd;nd;nd;175;0.010;0.004;15.06;0.010;nd;nd;23;nd;5;8.5;2.8;6.00;nd;365;43;nd;nd;nd;nd;nd;33;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00054;Tipperary North;Bouladuff/Borrisoleigh PWS (BH1);205105;165407;IE_SE_G_0131_3700_0002;16/09/93;7.8;nd;nd;nd;228;0.010;0.001;14.61;0.002;nd;nd;22;nd;nd;9.6;1.7;29.80;nd;35;7;nd;nd;nd;nd;nd;43;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00055;Tipperary North;Templemore WS;210521;174692;IE_SE_G_0131_3700_0007;16/09/93;7.3;nd;nd;nd;229;0.010;0.001;20.81;0.010;nd;nd;24;nd;nd;10.0;2.1;13.20;nd;16;4;nd;nd;nd;nd;nd;60;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00056;Tipperary North;Kilmakill;220100;161200;IE_SE_G_0131_3700_0004;22/09/93;7.3;nd;nd;nd;269;0.140;0.050;24.80;0.002;nd;nd;31;nd;nd;10.6;9.4;35.90;nd;5;42;nd;nd;nd;nd;nd;117;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00057;Tipperary North;Thurles WS (Creamery Well);212600;159150;22_008;23/09/93;7.3;nd;nd;nd;201;0.010;0.001;20.37;0.044;nd;nd;25;nd;nd;12.6;3.9;33.00;nd;104;13;nd;nd;nd;nd;nd;265;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00058;Tipperary North;Thurles WS (Tobernaloo);210068;158326;IE_SE_G_0158_3700_0009;23/09/93;7.5;nd;nd;nd;230;0.010;0.001;26.57;0.002;nd;nd;27;nd;nd;10.1;1.8;30.30;nd;27;3;nd;nd;nd;nd;nd;94;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00059;Monaghan;Tydavnet (PWA);257300;340440;IE_NB_G_0014_2400_0010;29/09/93;7.5;11.00;nd;nd;195;0.050;0.005;1.37;0.020;2.3;nd;10;nd;70;134.3;4.1;30.41;48.3;269;20;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00060;Louth;Collon;300241;281688;IE_EA_G_0010_2100_0004;11/10/93;7.2;12.00;nd;nd;85;0.010;0.001;17.27;0.050;0.9;nd;20;nd;15;12.5;1.5;17.17;54.1;1;3;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00061;Louth;Ardtullybeg;319557;306257;IE_NB_G_0024_2100_0001;11/10/93;7.4;12.00;nd;nd;nd;0.010;0.001;31.48;0.050;1.1;nd;32;nd;17;14.2;1.6;10.81;130.9;2;3;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00062;Louth;Ballymakenny;309118;277108;IE_EA_G_0025_2100_0002;13/10/93;7.6;12.00;nd;nd;133;0.010;0.003;4.56;0.070;1.1;nd;20;nd;9;17.7;1.7;10.61;89.2;148;42;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00063;Louth;Drybridge;306122;276033;IE_EA_G_0025_2100_0005;13/10/93;7.2;10.00;nd;nd;122;0.010;0.004;18.46;0.060;1.0;nd;21;nd;17;15.4;3.6;12.11;78.0;11;3;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00064;Monaghan;Tydavnet (PWA);257300;340440;IE_NB_G_0014_2400_0010;26/10/93;7.5;9.00;nd;nd;207;0.020;0.001;1.64;0.020;0.9;nd;9;nd;60;105.5;5.0;30.48;57.5;322;18;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00065;Louth;Drybridge;306122;276033;IE_EA_G_0025_2100_0005;08/11/93;7.3;9.00;nd;nd;118;0.010;0.002;19.75;0.030;0.9;nd;22;nd;14;15.6;1.5;11.19;70.6;11;4;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00066;Kilkenny;Clifden/Clara GWS;258222;155391;IE_SE_G_0078_1500_0006;09/11/93;7.4;10.00;nd;nd;198;0.010;nd;30.11;0.010;nd;nd;21;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00067;Kilkenny;Paulstown;266048;157294;IE_SE_G_0165_1500_0014;09/11/93;7.4;11.00;nd;nd;181;0.010;nd;25.69;0.010;nd;nd;26;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00068;Kilkenny;Dunmore (Readymix);250144;159746;10_008;10/11/93;7.6;8.10;nd;nd;181;0.010;nd;0.44;0.010;nd;nd;17;nd;nd;12.0;0.9;17.50;nd;106;229;nd;nd;nd;nd;3;43;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00069;Kilkenny;Dunmore (Readymix);250144;159746;10_008;10/11/93;7.5;8.40;nd;nd;181;0.010;nd;60.23;0.010;nd;nd;22;nd;nd;9.2;0.8;7.30;nd;41;-5;nd;nd;nd;nd;1;35;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00070;Kilkenny;Thomastown WS (BH 9 - GAA Grounds);259037;141462;IE_SE_G_0128_1500_0019;10/11/93;7.4;11.00;nd;nd;nd;0.010;nd;32.33;0.020;nd;nd;41;nd;nd;18.0;3.5;25.40;nd;17;2;nd;nd;nd;nd;2;565;nd;0.1;nd;nd;1.0;nd;nd;nd;nd;nd;nd;nd
00071;Carlow;Baganelstown PWS (BHC);270993;162409;IE_SE_G_0160_0100_0001;11/11/93;7.5;10.00;nd;nd;181;0.010;nd;43.75;0.016;nd;nd;27;nd;nd;10.1;1.9;22.70;nd;26;-5;nd;nd;nd;nd;1;15;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00072;Waterford;Ballykinsella WS;260205;105097;24_003;15/11/93;6.4;10.00;nd;nd;26;0.010;nd;44.73;-0.010;nd;nd;37;nd;nd;16.0;1.2;16.50;nd;685;22;nd;nd;nd;nd;7;164;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00073;Waterford;Kilrossanty WS;230449;101027;IE_SE_G_0146_3800_0009;16/11/93;6.0;10.00;nd;nd;7;0.010;nd;10.63;0.009;nd;nd;18;nd;nd;8.9;0.4;4.70;nd;18;2;nd;nd;nd;nd;7;68;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00074;Monaghan;Tydavnet (PWA);257300;340440;IE_NB_G_0014_2400_0010;17/11/93;7.6;nd;nd;nd;185;0.090;0.002;1.28;0.020;0.9;nd;10;nd;70;86.9;4.4;28.65;50.5;288;15;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00075;Waterford;Ballyrohan/Ballymacarbry PWS;219605;110952;IE_SE_G_0154_3800_0005;17/11/93;6.8;9.00;nd;nd;60;-0.010;nd;15.94;0.002;nd;nd;13;nd;nd;6.4;0.4;5.40;nd;20;1;nd;nd;nd;nd;4;69;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00076;Waterford;Ballyhane PWS;213258;97691;IE_SW_G_0050_3800_0002;17/11/93;7.2;10.00;nd;nd;179;-0.010;nd;35.43;-0.010;nd;nd;26;nd;nd;10.5;1.4;17.70;nd;11;-5;nd;nd;nd;nd;10;59;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00077;Waterford;Cappoquin WS;211498;99325;IE_SW_G_0050_3800_0006;17/11/93;6.4;10.00;nd;nd;21;-0.010;nd;42.07;-0.010;nd;nd;26;nd;nd;14.1;1.7;12.10;nd;52;-5;nd;nd;nd;nd;19;76;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00078;Tipperary South;Fethard RWS (Mullinbawn);222327;134457;IE_SE_G_0040_3700_0005;22/11/93;7.4;10.80;nd;nd;nd;0.010;nd;15.06;0.002;nd;nd;19;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00079;Tipperary South;Ironmills WS;191469;146927;IE_SE_G_0131_3700_0009;22/11/93;7.4;10.80;nd;nd;nd;0.010;nd;15.06;0.002;nd;nd;19;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00080;Tipperary North;Glenbeha PWS;212280;185305;IE_SE_G_0114_3700_0003;30/11/93;7.4;8.60;nd;nd;nd;0.010;nd;19.93;0.029;nd;nd;22;nd;nd;nd;nd;nd;nd;31;8;nd;nd;nd;nd;1;24;nd;-0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00081;Tipperary South;Kilcoran;198376;121637;IE_SE_G_0024_3700_0008;06/12/93;6.4;8.40;nd;nd;34;-0.010;-0.001;1.33;-0.010;nd;nd;19;nd;nd;9.2;0.9;8.10;nd;14;11;nd;nd;nd;nd;47;121;nd;0.2;nd;nd;6.0;nd;nd;nd;nd;nd;nd;nd
00082;Tipperary South;Poulalee;208100;114000;IE_SE_G_0040_3700_0009;06/12/93;7.5;10.50;nd;nd;128;-0.010;0.001;19.04;-0.010;nd;nd;15;nd;nd;6.9;1.1;9.10;nd;29;3;nd;nd;nd;nd;1;156;nd;0.1;nd;nd;-1.0;nd;nd;nd;nd;nd;nd;nd
00083;Tipperary South;Toberadorah Springs;207906;149647;IE_SE_G_0131_3700_0012;07/12/93;7.5;8.00;nd;nd;226;-0.001;0.002;28.79;0.008;nd;nd;25;nd;nd;9.3;3.7;12.70;nd;30;12;nd;nd;nd;nd;nd;14;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
