ID;County;Site_Name;Easting;Northing;Depth;New_Code;Sample_Date;pH;T;O(0);Eh;Alkalinity;N(-3);N(3);N(5);P;C(-4);Si;Cl;F;S(6);Na;K;Mg;Ca;Fe;Mn;B;Al;Cr;Ni;Cu;Zn;As;Cd;Sb;Ba;Pb;U;Hg;Co;Mo;Sr;Ag;Be
5561;Sligo;Tobernalt;171031;332883;;IE_WE_G_0042_2700_0003;30/06/10;7;10.3;nd;121;160;-0.026;-0.007;7.53;0.034;1.6;5;22;0.3;21;13;2;8;96;-10;-1;12;5;-1;1;4;13;-0.5;-0.1;-0.5;15;-0.5;1;-0.05;-0.5;-0.5;304;-0.5;-0.5
5562;Leitrim;Kinlough/Tullaghan;183024;348243;;IE_WE_G_0060_1700_0002;30/06/10;7.6;9.1;nd;575;81;-0.026;-0.007;0.93;-0.015;-1.5;4;13;-0.2;5;8;0.5;3;49;-10;-1;-10;-5;-1;-1;2;3;-0.5;-0.1;-0.5;73;-0.5;0.4;-0.05;-0.5;-0.5;438;-0.5;-0.5
5563;Wexford;Kilmuckridge WS (Ballygarran);314985;141840;;IE_SE_G_0025_3300_0007;01/07/10;7.5;11.4;nd;59;71;-0.026;-0.007;5.93;0.153;-1.5;12;36;-0.2;24;21;1;12;76;-10;-1;20;-5;-1;1;2;4;-0.5;-0.1;-0.5;20;-0.5;2;-0.05;-0.5;-0.5;297;-0.5;-0.5
5564;Wexford;Edermine WS;297696;134407;;IE_SE_G_0061_3300_0004;01/07/10;6.3;11.4;nd;115;139;-0.026;-0.007;22.81;0.02;-1.5;9;24;-0.2;13;14;1;8;20;-10;1;19;-5;-1;3;2;68;-0.5;-0.1;-0.5;3;-0.5;-0.1;-0.05;-0.5;-0.5;78;-0.5;-0.5
5565;Wexford;Enniscorthy WS;298420;139327;;IE_SE_G_0061_3300_0005;01/07/10;6.8;11.6;nd;101;60;-0.026;-0.007;39.33;0.024;-1.5;20;28;-0.2;27;21;2;20;24;-10;-1;-10;-5;-1;-1;4;24;1;0.3;-0.5;7;-0.5;-0.1;-0.05;-0.5;-0.5;90;-0.5;-0.5
5566;Wexford;S.Wexford RWS (Ballykelly);304684;115426;;IE_SE_G_0064_3300_0009;01/07/10;7.2;13.9;nd;81;222;-0.026;0.007;3.76;-0.015;-1.5;11;37;-0.2;27;20;2;20;106;-10;499;24;-5;-1;-1;1;4;-0.5;-0.1;-0.5;635;-0.5;1;-0.05;-0.5;-0.5;279;-0.5;-0.5
5567;Wexford;S.Wexford RWS (Rathmackneee BH);303587;113944;;IE_SE_G_0064_3300_0010;01/07/10;7.2;11.4;nd;92;215;0.054;-0.007;0.53;-0.015;-1.5;9;40;0.2;22;23;1;20;92;-10;510;28;-5;-1;-1;-1;9;-0.5;-0.1;-0.5;100;-0.5;1;-0.05;0.6;-0.5;268;-0.5;-0.5
5568;Cork;Glanworth PWS (Dunmahon BH);177636;105536;;IE_SW_G_0025_0500_0016;01/07/10;6.4;11.2;nd;296;46;-0.026;-0.007;18.38;0.054;-1.5;13;18;-0.2;4;12;2;4;27;-10;-1;-10;-5;-1;-1;3;5;-0.5;-0.1;-0.5;42;0.5;0.1;-0.05;-0.5;-0.5;45;-0.5;-0.5
5569;Cork;Kilworth PWS (Killally);183211;103909;;IE_SW_G_0025_0500_0020;01/07/10;6.3;11;nd;281;60;-0.026;-0.007;18.78;-0.015;-1.5;10;17;-0.2;5;10;2;7;29;-10;-1;-10;-5;-1;1;2;7;-0.5;-0.1;-0.5;55;-0.5;0.3;-0.05;-0.5;-0.5;61;-0.5;-0.5
5570;Cork;Fermoy PWS;177756;98385;;IE_SW_G_0037_0500_0015;01/07/10;6.9;13.7;nd;292;118;-0.026;-0.007;25.2;-0.015;-1.5;6;21;-0.2;12;11;1;6;83;-10;9;-10;-5;-1;-1;5;7;-0.5;-0.1;-0.5;25;-0.5;0.6;-0.05;-0.5;-0.5;94;-0.5;-0.5
5571;Cork;Mitchelstown PWS (South);181040;109989;;IE_SW_G_0047_0500_0022;01/07/10;6.5;10.9;nd;288;71;-0.026;-0.007;18.33;0.015;-1.5;9;23;-0.2;8;11;1;5;48;-10;-1;-10;-5;-1;-1;3;6;-0.5;-0.1;-0.5;128;-0.5;0.8;-0.05;-0.5;-0.5;96;-0.5;-0.5
5572;Cork;Downing Bridge PWS;182342;101841;;IE_SW_G_0082_0500_0013;01/07/10;7;11.3;nd;285;171;-0.026;-0.007;34.28;-0.015;-1.5;6;25;-0.2;13;11;2;9;112;-10;-1;15;-5;-1;-1;1;13;-0.5;-0.1;-0.5;12;-0.5;0.5;-0.05;-0.5;-0.5;99;-0.5;-0.5
5573;Clare;Whitegate;172851;188125;;03_005;05/07/10;6.5;11.6;nd;577;98;-0.026;-0.007;2.61;-0.015;-1.5;9;21;-0.2;4;10;1;6;56;-10;3;-10;-5;-1;-1;30;40;-0.5;0.4;-0.5;74;1;0.6;0.09;-0.5;-0.5;109;-0.5;-0.5
5574;Limerick;Cappamore BH;178881;153254;;13_005;05/07/10;7.4;11.7;nd;275;156;-0.026;-0.007;4.78;-0.015;-1.5;8;17;-0.2;-2;9;4;22;59;-10;-1;16;-5;-1;-1;1;8;-0.5;-0.1;-0.5;538;-0.5;3;-0.05;-0.5;-0.5;316;-0.5;-0.5
5575;Limerick;Caherconlish;168409;150500;;IE_SH_G_0036_3600_0004;05/07/10;7.1;12.4;nd;363;183;-0.026;-0.007;11.91;-0.015;-1.5;9;29;-0.2;14;14;2;16;104;-10;-1;15;-5;-1;-1;3;9;-0.5;-0.1;-0.5;59;-0.5;0.5;-0.05;-0.5;-0.5;211;-0.5;-0.5
5576;Limerick;Murroe;172612;156375;;IE_SH_G_0213_3600_0019;05/07/10;7;10.8;nd;313;167;-0.026;-0.007;10.23;-0.015;-1.5;6;17;-0.2;9;9;1;6;103;-10;-1;13;-5;-1;-1;1;3;-0.5;-0.1;-0.5;519;-0.5;0.3;-0.05;-0.5;-0.5;142;-0.5;-0.5
